t kinetic_energy max_velocity div_max
0.847 0.987451 1.28691 0
0.848 0.987806 1.28686 0
0.849 0.972484 1.2788 0
0.85 0.987094 1.28631 0
0.851 0.983234 1.28471 0
0.852 0.98305 1.28473 0
0.853 0.984139 1.28474 0
0.854 0.985658 1.28585 0
0.855 0.97652 1.2808 0
0.856 0.984915 1.28525 0
0.857 0.981017 1.28302 0
0.858 0.995282 1.29056 0
0.859 0.979893 1.28281 0
0.86 0.974028 1.27955 0
0.861 0.97579 1.28019 0
0.862 0.987229 1.28603 0
0.863 0.989868 1.28761 0
0.864 0.980496 1.28244 0
0.865 0.977144 1.2807 0
0.866 0.975081 1.27952 0
0.867 0.985481 1.28521 0
0.868 0.979925 1.28223 0
0.869 0.979138 1.28181 0
